Company,ISRC,UPC,Label,Country,Store,"Catalogue Number",Artist,Title,Mix,Remixer,Quantity,"Recipient Net Royalty ($ USD)",Media,"Video ID","Channel ID","Asset ID","Asset Type",Month,Account,Reference
"Create Music Group, Inc.",CA5KR2331078,795397629711,"On The Way Records",Australia,Tidal,,,"Be The One",,,5,0.04767102,Streaming,,,,,2023-12-01,"On The Way Records","Tidal Streaming December 2023"
"Create Music Group, Inc.",CA5KR2331078,795397629711,"On The Way Records","United States",Tidal,,,"Be The One",,,2,0.01486298,Streaming,,,,,2023-12-01,"On The Way Records","Tidal Streaming December 2023"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records","United States",Tidal,,Awol,"Give It To Me",,,2,0.01486300,Streaming,,,,,2023-12-01,"On The Way Records","Tidal Streaming December 2023"
"Create Music Group, Inc.",CA5KR2390785,723277126951,"On The Way Records",Brazil,Tidal,,"Ban Dello",Money,,,1,0.00385303,Streaming,,,,,2023-12-01,"On The Way Records","Tidal Streaming December 2023"
"Create Music Group, Inc.",CA5KR2390785,723277126951,"On The Way Records","United States",Tidal,,"Ban Dello",Money,,,1,0.00792197,Streaming,,,,,2023-12-01,"On The Way Records","Tidal Streaming December 2023"
"Create Music Group, Inc.",CA5KR2343132,795397719122,"On The Way Records",Belgium,Tidal,,Daevo,"Lose Control",,,1,0.01034018,Streaming,,,,,2023-12-01,"On The Way Records","Tidal Streaming December 2023"
"Create Music Group, Inc.",CA5KR2343132,795397719122,"On The Way Records","United Kingdom",Tidal,,Daevo,"Lose Control",,,1,0.01129982,Streaming,,,,,2023-12-01,"On The Way Records","Tidal Streaming December 2023"
"Create Music Group, Inc.",CA5KR2406290,723277224046,"On The Way Records",Singapore,Tidal,,Dawner,Dream,,,1,0.00915500,Streaming,,,,,2023-12-01,"On The Way Records","Tidal Streaming December 2023"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records",Netherlands,Tidal,,Dstyler,"Nobody Safe",,,6,0.06384114,Streaming,,,,,2023-12-01,"On The Way Records","Tidal Streaming December 2023"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records",Nigeria,Tidal,,Dstyler,"Nobody Safe",,,1,0.00054144,Streaming,,,,,2023-12-01,"On The Way Records","Tidal Streaming December 2023"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records",Poland,Tidal,,Dstyler,"Nobody Safe",,,1,0.00431796,Streaming,,,,,2023-12-01,"On The Way Records","Tidal Streaming December 2023"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records",Portugal,Tidal,,Dstyler,"Nobody Safe",,,2,0.00233748,Streaming,,,,,2023-12-01,"On The Way Records","Tidal Streaming December 2023"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records",Spain,Tidal,,Dstyler,"Nobody Safe",,,3,0.00856706,Streaming,,,,,2023-12-01,"On The Way Records","Tidal Streaming December 2023"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records","United States",Tidal,,Dstyler,"Nobody Safe",,,2,0.01220077,Streaming,,,,,2023-12-01,"On The Way Records","Tidal Streaming December 2023"
"Create Music Group, Inc.",CA5KR2368939,795397919881,"On The Way Records",Germany,Tidal,,Fesko,"Feeling Right",,,1,0.00963206,Streaming,,,,,2023-12-01,"On The Way Records","Tidal Streaming December 2023"
