AMPsuite Statement for On The Way Records,,,,,,,,,,,,,,,,,
Period 2024-10-01 to 2024-10-31,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
This Period: ,,,£ 123.42,,,,,,,,,,,,,,
Bought Forward: ,,,£ 12.58,,,,,,,,,,,,,,
PAYABLE: ,,,£ 136.01,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
You are due a payment of £ 136.01,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Period From,Period To,Transaction Date,Distributor,UPC,Cat. No.,ISRC,Label,Release Title,Track Title,Mix Name,Artist,Content Type,Delivery Method,Territory,Suitebeats Comp.,Quantity,Revenue
2024-09-01,2024-09-30,2024-09-17,Juno,723277754376,OTW094,CA5KR2491031,On The Way,Already Know,Already Know,,Qaden James/daevo,wav track,wav track,DE,No,1,0.697
,,,Tidal,723277711249,,CA5KR2485714,On The Way Records,Everything to Lose,Everything to Lose,,Volyri & NONOGOOD,track,Streaming,US,No,1,0.0032
,,,Tidal,723277739021,,CA5KR2489986,On The Way Records,Iab,Iab,,Advanced & jeonghyeon,track,Streaming,DE,No,1,0.003091
,,,Tidal,723277739021,,CA5KR2489986,On The Way Records,Iab,Iab,,Advanced & jeonghyeon,track,Streaming,CO,No,8,0.010116
,,,Tidal,723277739021,,CA5KR2489986,On The Way Records,Iab,Iab,,Advanced & jeonghyeon,track,Streaming,CA,No,1,0.006156
,,,Tidal,723277739021,,CA5KR2489986,On The Way Records,Iab,Iab,,Advanced & jeonghyeon,track,Streaming,US,No,3,0.010552
,,,Tidal,723277739021,,CA5KR2489986,On The Way Records,Iab,Iab,,Advanced & jeonghyeon,track,Streaming,SG,No,69,0.19774
,,,Tidal,723277739021,,CA5KR2489986,On The Way Records,Iab,Iab,,Advanced & jeonghyeon,track,Streaming,AT,No,1,0.003458
,,,Tidal,723277739021,,CA5KR2489986,On The Way Records,Iab,Iab,,Advanced & jeonghyeon,track,Streaming,US,No,1,0.012324
,,,Tidal,723277739021,,CA5KR2489986,On The Way Records,Iab,Iab,,Advanced & jeonghyeon,track,Streaming,CA,No,1,0.002859
,,,Tidal,723277739021,,CA5KR2489986,On The Way Records,Iab,Iab,,Advanced & jeonghyeon,track,Streaming,US,No,2,0.024491
