Company,ISRC,UPC,Label,Country,Store,"Catalogue Number",Artist,Title,Mix,Remixer,Quantity,"Recipient Net Royalty ($ USD)",Media,"Video ID","Channel ID","Asset ID","Asset Type",Month,Account,Reference
"Create Music Group, Inc.",CA5KR2485717,723277711294,"On The Way Records",,Youtube,,Axon,"Loko' Loko",,,20,0.03418600,Ad-Revenue,pBpGVtSOB_0,OUqY26P-y1DvKSgREW89Rg,A637281199511599,YouTube,2024-09-01,"On The Way Records","YouTube | September 2024 | D004 - YouTube Ad-Supported Adjustments September 2024"
"Create Music Group, Inc.",CA5KR2485714,723277711249,"On The Way Records",,Youtube,,"Nonogood, Volyri","Everything To Lose",,,52,0.83561900,Ad-Revenue,I3zCQJBGXgc,OySU_n63NHuDQdzIc0ic1A,A813858543455141,YouTube,2024-09-01,"On The Way Records","YouTube | September 2024 | D004 - YouTube Ad-Supported Adjustments September 2024"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records",Australia,Tidal,,"Advanced, Jeonghyeon",Iab,,,1,0.01723712,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records","United States",Tidal,,"Advanced, Jeonghyeon",Iab,,,31,0.44970536,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records",Germany,Tidal,,"Advanced, Jeonghyeon",Iab,,,6,0.02218751,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records","United States",Tidal,,"Austin Feldman",Breathe,,,1,0.01747850,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records",Switzerland,Tidal,,"Austin Feldman",Breathe,,,1,0.01815850,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2464617,723277567044,"On The Way Records","United States",Tidal,,"Austin Feldman",Whsky,,,1,0.01747800,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Argentina,Tidal,,Awol,"Give It To Me",,,1,0.00232220,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Sweden,Tidal,,Awol,"Give It To Me",,,2,0.01688610,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records","United States",Tidal,,Awol,"Give It To Me",,,1,0.01747855,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2485717,723277711294,"On The Way Records",Germany,Tidal,,Axon,"Loko' Loko",,,2,0.00833400,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2460825,723277549422,"On The Way Records",Netherlands,Tidal,,"Azooland, Wrex","The Dj",,,1,0.01896489,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2460825,723277549422,"On The Way Records",Norway,Tidal,,"Azooland, Wrex","The Dj",,,1,0.01169411,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records","United States",Tidal,,"B00st, Daevo",1981,,,6,0.10605125,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records","United Kingdom",Tidal,,"B00st, Daevo",1981,,,1,0.02219675,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records",Brazil,Tidal,,"B00st, Daevo",1981,,,1,0.00767800,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2390785,723277126951,"On The Way Records",Estonia,Tidal,,"Ban Dello",Money,,,1,0.01682900,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2461940,723277554709,"On The Way Records","United States",Tidal,,"Blue Man","That Beat!",,,6,0.10487000,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2491776,723277768021,"On The Way Records",Greece,Tidal,,Cgve,Flex,,,1,0.00856800,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2343132,795397719122,"On The Way Records","United States",Tidal,,Daevo,"Lose Control",,,2,0.01018300,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2406290,723277224046,"On The Way Records",Belgium,Tidal,,Dawner,Dream,,,1,0.00419900,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2411412,723277258171,"On The Way Records","United States",Tidal,,Dcvcv,Falling,,,1,0.01747843,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
"Create Music Group, Inc.",CA5KR2411412,723277258171,"On The Way Records",Poland,Tidal,,Dcvcv,Falling,,,5,0.01183192,Streaming,,,,,2024-12-01,"On The Way Records","Tidal Streaming December 2024"
