Company,ISRC,UPC,Label,Country,Store,"Catalogue Number",Artist,Title,Mix,Remixer,Quantity,"Recipient Net Royalty ($ USD)",Media,"Video ID","Channel ID","Asset ID","Asset Type",Month,Account,Reference
"Create Music Group, Inc.",CA5KR2331078,795397629711,"On The Way Records",Argentina,Tidal,,,"Be The One",,,2,0.01429643,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2331078,795397629711,"On The Way Records",Thailand,Tidal,,,"Be The One",,,1,0.00439857,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Argentina,Tidal,,Awol,"Give It To Me",,,1,0.00714848,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Nigeria,Tidal,,Awol,"Give It To Me",,,1,0.00052360,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Spain,Tidal,,Awol,"Give It To Me",,,1,0.01032833,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Sweden,Tidal,,Awol,"Give It To Me",,,11,0.11626444,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2390785,723277126951,"On The Way Records",Estonia,Tidal,,"Ban Dello",Money,,,5,0.05682776,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2390785,723277126951,"On The Way Records","United States",Tidal,,"Ban Dello",Money,,,1,0.00917224,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2343132,795397719122,"On The Way Records","United States",Tidal,,Daevo,"Lose Control",,,4,0.00967600,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2406290,723277224046,"On The Way Records",Poland,Tidal,,Dawner,Dream,,,1,0.00451733,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2406290,723277224046,"On The Way Records","United States",Tidal,,Dawner,Dream,,,1,0.00195567,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2411412,723277258171,"On The Way Records",Argentina,Tidal,,Dcvcv,Falling,,,1,0.00021589,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2411412,723277258171,"On The Way Records",France,Tidal,,Dcvcv,Falling,,,1,0.01076973,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2411412,723277258171,"On The Way Records",Peru,Tidal,,Dcvcv,Falling,,,2,0.00366754,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records",Argentina,Tidal,,Dstyler,"Nobody Safe",,,3,0.00758113,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records",Canada,Tidal,,Dstyler,"Nobody Safe",,,3,0.02136471,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records",Netherlands,Tidal,,Dstyler,"Nobody Safe",,,3,0.03389708,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records",Nigeria,Tidal,,Dstyler,"Nobody Safe",,,1,0.00052360,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records",Norway,Tidal,,Dstyler,"Nobody Safe",,,3,0.03073509,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records",Poland,Tidal,,Dstyler,"Nobody Safe",,,3,0.00933213,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records","United States",Tidal,,Dstyler,"Nobody Safe",,,2,0.01764511,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2401474,723277201429,"On The Way Records",Argentina,Tidal,,Due,"Stopping In Me",,,1,0.00021590,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2401474,723277201429,"On The Way Records",Norway,Tidal,,Due,"Stopping In Me",,,4,0.04098010,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2368939,795397919881,"On The Way Records",Poland,Tidal,,Fesko,"Feeling Right",,,1,0.00240710,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2368939,795397919881,"On The Way Records","United States",Tidal,,Fesko,"Feeling Right",,,2,0.01694490,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2379467,723277021935,"On The Way Records",Germany,Tidal,,"Ghost Claw","Stay With Me",,,1,0.01083453,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2379467,723277021935,"On The Way Records","United States",Tidal,,"Ghost Claw","Stay With Me",,,1,0.00847247,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2396963,723277178134,"On The Way Records",Argentina,Tidal,,Iilo,"Can’t Have It",,,1,0.00714841,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2396963,723277178134,"On The Way Records",Canada,Tidal,,Iilo,"Can’t Have It",,,6,0.04272899,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2396963,723277178134,"On The Way Records",Nigeria,Tidal,,Iilo,"Can’t Have It",,,1,0.00052359,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2386089,723277090429,"On The Way Records",Australia,Tidal,,"Iilo Fesko","Lose My Breath",,,1,0.01049661,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2386089,723277090429,"On The Way Records",Mexico,Tidal,,"Iilo Fesko","Lose My Breath",,,3,0.01547335,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2386089,723277090429,"On The Way Records",Spain,Tidal,,"Iilo Fesko","Lose My Breath",,,1,0.01032832,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2386089,723277090429,"On The Way Records","United States",Tidal,,"Iilo Fesko","Lose My Breath",,,7,0.05293357,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2362773,795397865072,"On The Way Records",Belgium,Tidal,,Krupz,You,,,8,0.01130655,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2362773,795397865072,"On The Way Records",Germany,Tidal,,Krupz,You,,,2,0.02167045,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
"Create Music Group, Inc.",CA5KR2351506,795397783840,"On The Way Records",France,Tidal,,Madzi,"Ready Or Not",,,1,0.00872015,Streaming,,,,,2024-01-01,"On The Way Records","Tidal Streaming January 2024"
