Company,ISRC,UPC,Label,Country,Store,"Catalogue Number",Artist,Title,Mix,Remixer,Quantity,"Recipient Net Royalty ($ USD)",Media,"Video ID","Channel ID","Asset ID","Asset Type",Month,Account,Reference
"Create Music Group, Inc.",CA5KR2383894,723277066868,"On The Way Records",Canada,Tidal,,Ali7e,Switch,,,1,0.00909100,Streaming,,,,,2024-02-01,"On The Way Records","Tidal Streaming February 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Austria,Tidal,,Awol,"Give It To Me",,,1,0.01048891,Streaming,,,,,2024-02-01,"On The Way Records","Tidal Streaming February 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Hungary,Tidal,,Awol,"Give It To Me",,,1,0.00449476,Streaming,,,,,2024-02-01,"On The Way Records","Tidal Streaming February 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Nigeria,Tidal,,Awol,"Give It To Me",,,2,0.00079049,Streaming,,,,,2024-02-01,"On The Way Records","Tidal Streaming February 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Sweden,Tidal,,Awol,"Give It To Me",,,4,0.04265178,Streaming,,,,,2024-02-01,"On The Way Records","Tidal Streaming February 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records","United States",Tidal,,Awol,"Give It To Me",,,3,0.02280105,Streaming,,,,,2024-02-01,"On The Way Records","Tidal Streaming February 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records",Finland,Tidal,,"B00st Daevo",1981,,,1,0.00481847,Streaming,,,,,2024-02-01,"On The Way Records","Tidal Streaming February 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records","New Zealand",Tidal,,"B00st Daevo",1981,,,1,0.00361067,Streaming,,,,,2024-02-01,"On The Way Records","Tidal Streaming February 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records",Romania,Tidal,,"B00st Daevo",1981,,,1,0.00452438,Streaming,,,,,2024-02-01,"On The Way Records","Tidal Streaming February 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records","United States",Tidal,,"B00st Daevo",1981,,,1,0.00452948,Streaming,,,,,2024-02-01,"On The Way Records","Tidal Streaming February 2024"
"Create Music Group, Inc.",CA5KR2390785,723277126951,"On The Way Records",Estonia,Tidal,,"Ban Dello",Money,,,2,0.01407000,Streaming,,,,,2024-02-01,"On The Way Records","Tidal Streaming February 2024"
"Create Music Group, Inc.",CA5KR2392188,723277141763,"On The Way Records","United States",Tidal,,"Clamor Ali7e","Beast Hive",,,1,0.00205900,Streaming,,,,,2024-02-01,"On The Way Records","Tidal Streaming February 2024"
"Create Music Group, Inc.",CA5KR2421597,723277324395,"On The Way Records","United States",Tidal,,Daevo,Flashback,,,1,0.00748500,Streaming,,,,,2024-02-01,"On The Way Records","Tidal Streaming February 2024"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records",Canada,Tidal,,Dstyler,"Nobody Safe",,,8,0.05824014,Streaming,,,,,2024-02-01,"On The Way Records","Tidal Streaming February 2024"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records",Germany,Tidal,,Dstyler,"Nobody Safe",,,1,0.01104657,Streaming,,,,,2024-02-01,"On The Way Records","Tidal Streaming February 2024"
