Company,ISRC,UPC,Label,Country,Store,"Catalogue Number",Artist,Title,Mix,Remixer,Quantity,"Recipient Net Royalty ($ USD)",Media,"Video ID","Channel ID","Asset ID","Asset Type",Month,Account,Reference
"Create Music Group, Inc.",CA5KR2383894,723277066868,"On The Way Records",Canada,Tidal,,Ali7e,Switch,,,1,0.00840300,Streaming,,,,,2024-03-01,"On The Way Records","Tidal | March 2024 | Tidal Streaming March 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records",Brazil,Tidal,,"Austin Feldman",Breathe,,,1,0.00423041,Streaming,,,,,2024-03-01,"On The Way Records","Tidal | March 2024 | Tidal Streaming March 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records",Chile,Tidal,,"Austin Feldman",Breathe,,,1,0.00343652,Streaming,,,,,2024-03-01,"On The Way Records","Tidal | March 2024 | Tidal Streaming March 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records",France,Tidal,,"Austin Feldman",Breathe,,,2,0.00555215,Streaming,,,,,2024-03-01,"On The Way Records","Tidal | March 2024 | Tidal Streaming March 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records",Netherlands,Tidal,,"Austin Feldman",Breathe,,,6,0.02463619,Streaming,,,,,2024-03-01,"On The Way Records","Tidal | March 2024 | Tidal Streaming March 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records",Singapore,Tidal,,"Austin Feldman",Breathe,,,1,0.00935672,Streaming,,,,,2024-03-01,"On The Way Records","Tidal | March 2024 | Tidal Streaming March 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Germany,Tidal,,Awol,"Give It To Me",,,2,0.01999617,Streaming,,,,,2024-03-01,"On The Way Records","Tidal | March 2024 | Tidal Streaming March 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Hungary,Tidal,,Awol,"Give It To Me",,,1,0.00397373,Streaming,,,,,2024-03-01,"On The Way Records","Tidal | March 2024 | Tidal Streaming March 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Romania,Tidal,,Awol,"Give It To Me",,,4,0.01898128,Streaming,,,,,2024-03-01,"On The Way Records","Tidal | March 2024 | Tidal Streaming March 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Spain,Tidal,,Awol,"Give It To Me",,,2,0.01629189,Streaming,,,,,2024-03-01,"On The Way Records","Tidal | March 2024 | Tidal Streaming March 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records","United States",Tidal,,Awol,"Give It To Me",,,5,0.01735863,Streaming,,,,,2024-03-01,"On The Way Records","Tidal | March 2024 | Tidal Streaming March 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records",Germany,Tidal,,"B00st Daevo",1981,,,1,0.00999770,Streaming,,,,,2024-03-01,"On The Way Records","Tidal | March 2024 | Tidal Streaming March 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records",Netherlands,Tidal,,"B00st Daevo",1981,,,3,0.01231819,Streaming,,,,,2024-03-01,"On The Way Records","Tidal | March 2024 | Tidal Streaming March 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records","New Zealand",Tidal,,"B00st Daevo",1981,,,17,0.04861913,Streaming,,,,,2024-03-01,"On The Way Records","Tidal | March 2024 | Tidal Streaming March 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records",Nigeria,Tidal,,"B00st Daevo",1981,,,1,0.00085425,Streaming,,,,,2024-03-01,"On The Way Records","Tidal | March 2024 | Tidal Streaming March 2024"
