Company,ISRC,UPC,Label,Country,Store,"Catalogue Number",Artist,Title,Mix,Remixer,Quantity,"Recipient Net Royalty ($ USD)",Media,"Video ID","Channel ID","Asset ID","Asset Type",Month,Account,Reference
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records",Netherlands,Tidal,,"Austin Feldman",Breathe,,,1,0.00401622,Streaming,,,,,2024-04-01,"On The Way Records","Tidal | April 2024 | Tidal Streaming April 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records",Norway,Tidal,,"Austin Feldman",Breathe,,,1,0.00954202,Streaming,,,,,2024-04-01,"On The Way Records","Tidal | April 2024 | Tidal Streaming April 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records","United States",Tidal,,"Austin Feldman",Breathe,,,3,0.02769362,Streaming,,,,,2024-04-01,"On The Way Records","Tidal | April 2024 | Tidal Streaming April 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Germany,Tidal,,Awol,"Give It To Me",,,1,0.01150199,Streaming,,,,,2024-04-01,"On The Way Records","Tidal | April 2024 | Tidal Streaming April 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Nigeria,Tidal,,Awol,"Give It To Me",,,1,0.00000085,Streaming,,,,,2024-04-01,"On The Way Records","Tidal | April 2024 | Tidal Streaming April 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records","United States",Tidal,,Awol,"Give It To Me",,,5,0.04166116,Streaming,,,,,2024-04-01,"On The Way Records","Tidal | April 2024 | Tidal Streaming April 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records",Netherlands,Tidal,,"B00st Daevo",1981,,,1,0.00401622,Streaming,,,,,2024-04-01,"On The Way Records","Tidal | April 2024 | Tidal Streaming April 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records","New Zealand",Tidal,,"B00st Daevo",1981,,,5,0.01359481,Streaming,,,,,2024-04-01,"On The Way Records","Tidal | April 2024 | Tidal Streaming April 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records",Nigeria,Tidal,,"B00st Daevo",1981,,,1,0.00093924,Streaming,,,,,2024-04-01,"On The Way Records","Tidal | April 2024 | Tidal Streaming April 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records","United States",Tidal,,"B00st Daevo",1981,,,5,0.05987872,Streaming,,,,,2024-04-01,"On The Way Records","Tidal | April 2024 | Tidal Streaming April 2024"
