Company,ISRC,UPC,Label,Country,Store,"Catalogue Number",Artist,Title,Mix,Remixer,Quantity,"Recipient Net Royalty ($ USD)",Media,"Video ID","Channel ID","Asset ID","Asset Type",Month,Account,Reference
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records",Brazil,Tidal,,"Austin Feldman",Breathe,,,2,0.01095641,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records",Greece,Tidal,,"Austin Feldman",Breathe,,,1,0.00644635,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records","United States",Tidal,,"Austin Feldman",Breathe,,,3,0.02963925,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Romania,Tidal,,Awol,"Give It To Me",,,1,0.00496142,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Sweden,Tidal,,Awol,"Give It To Me",,,5,0.04814367,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records","United States",Tidal,,Awol,"Give It To Me",,,7,0.06915892,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records",Nigeria,Tidal,,B00st&daevo,1981,,,1,0.00599224,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records","United States",Tidal,,B00st&daevo,1981,,,1,0.00911076,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2421597,723277324395,"On The Way Records","United States",Tidal,,Daevo,Flashback,,,1,0.00911100,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2343132,795397719122,"On The Way Records","United States",Tidal,,Daevo,"Lose Control",,,1,0.00336700,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2406290,723277224046,"On The Way Records","United States",Tidal,,Dawner,Dream,,,3,0.03079200,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2411412,723277258171,"On The Way Records",Brazil,Tidal,,Dcvcv,Falling,,,8,0.04048944,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2411412,723277258171,"On The Way Records",Netherlands,Tidal,,Dcvcv,Falling,,,1,0.01574188,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2411412,723277258171,"On The Way Records",Poland,Tidal,,Dcvcv,Falling,,,13,0.03238560,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2411412,723277258171,"On The Way Records","United States",Tidal,,Dcvcv,Falling,,,1,0.00911108,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2426161,723277351629,"On The Way Records",Brazil,Tidal,,"Dcvcv&something Else Dr","Teenage Madness",,,5,0.02992200,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records",Canada,Tidal,,Dstyler,"Nobody Safe",,,1,0.00770772,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records",Germany,Tidal,,Dstyler,"Nobody Safe",,,2,0.02710196,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records",Latvia,Tidal,,Dstyler,"Nobody Safe",,,1,0.00637153,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records","United Kingdom",Tidal,,Dstyler,"Nobody Safe",,,1,0.01104563,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2425232,723277344447,"On The Way Records",Australia,Tidal,,Due,"Lift Me Up",,,1,0.00401200,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2443370,723277456416,"On The Way Records",Brazil,Tidal,,Dynamick,"Gimme Love",,,7,0.03542872,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2443370,723277456416,"On The Way Records","United States",Tidal,,Dynamick,"Gimme Love",,,2,0.02052828,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2368939,795397919881,"On The Way Records","United States",Tidal,,Fesko,"Feeling Right",,,1,0.00911100,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2440807,723277438559,"On The Way Records",Canada,Tidal,,Freewill,"You Can't Fool Nobody",,,2,0.02057835,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2440807,723277438559,"On The Way Records",Germany,Tidal,,Freewill,"You Can't Fool Nobody",,,6,0.04605096,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2440807,723277438559,"On The Way Records",Greece,Tidal,,Freewill,"You Can't Fool Nobody",,,1,0.00644635,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2440807,723277438559,"On The Way Records",Sweden,Tidal,,Freewill,"You Can't Fool Nobody",,,1,0.01311455,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
"Create Music Group, Inc.",CA5KR2440807,723277438559,"On The Way Records","United Kingdom",Tidal,,Freewill,"You Can't Fool Nobody",,,1,0.01259436,Streaming,,,,,2024-06-01,"On The Way Records","Tidal Streaming June 2024"
