Company,ISRC,UPC,Label,Country,Store,Catalogue Number,Artist,Title,Mix,Remixer,Quantity,Recipient Net Royalty ($ USD),Media,Video ID,Channel ID,Asset ID,Asset Type,Month,Account,Reference
"Create Music Group, Inc.",CA5KR2432424,7.23E+11,On The Way Records,Poland,Tidal,,Austin Feldman,Breathe,,,2,0.01218205,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2432424,7.23E+11,On The Way Records,United States,Tidal,,Austin Feldman,Breathe,,,1,0.01285695,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2464617,7.23E+11,On The Way Records,Singapore,Tidal,,Austin Feldman,Whsky,,,2,0.016629,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2404787,7.23E+11,On The Way Records,Sweden,Tidal,,Awol,Give It To Me,,,5,0.05078609,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2404787,7.23E+11,On The Way Records,United States,Tidal,,Awol,Give It To Me,,,2,0.02571391,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2460825,7.23E+11,On The Way Records,Brazil,Tidal,,"Azooland, Wrex",The Dj,,,1,0.00748831,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2460825,7.23E+11,On The Way Records,Spain,Tidal,,"Azooland, Wrex",The Dj,,,1,0.01420569,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2356213,7.95E+11,On The Way Records,United States,Tidal,,"B00st, Daevo",1981,,,1,0.012857,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2390785,7.23E+11,On The Way Records,France,Tidal,,Ban Dello,Money,,,2,0.029265,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2461940,7.23E+11,On The Way Records,United States,Tidal,,Blue Man,That Beat!,,,8,0.102857,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2421597,7.23E+11,On The Way Records,United States,Tidal,,Daevo,Flashback,,,1,0.009571,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2406290,7.23E+11,On The Way Records,United States,Tidal,,Dawner,Dream,,,4,0.048143,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2411412,7.23E+11,On The Way Records,Brazil,Tidal,,Dcvcv,Falling,,,1,0.00748848,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2411412,7.23E+11,On The Way Records,Norway,Tidal,,Dcvcv,Falling,,,4,0.0572907,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2411412,7.23E+11,On The Way Records,Poland,Tidal,,Dcvcv,Falling,,,4,0.01054082,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2426161,7.23E+11,On The Way Records,Brazil,Tidal,,"Dcvcv, Something Else Dr",Teenage Madness,,,1,0.006567,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2381689,7.23E+11,On The Way Records,United States,Tidal,,"Dephan, Synthtonix",I Like It,,,1,0.009571,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2391470,7.23E+11,On The Way Records,Canada,Tidal,,Dstyler,Nobody Safe,,,1,0.00788712,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2391470,7.23E+11,On The Way Records,Germany,Tidal,,Dstyler,Nobody Safe,,,1,0.00418964,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2391470,7.23E+11,On The Way Records,Norway,Tidal,,Dstyler,Nobody Safe,,,1,0.01170531,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2391470,7.23E+11,On The Way Records,United States,Tidal,,Dstyler,Nobody Safe,,,3,0.03528593,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2425232,7.23E+11,On The Way Records,Australia,Tidal,,Due,Lift Me Up,,,1,0.004042,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2455562,7.23E+11,On The Way Records,United States,Tidal,,Due,Love,,,1,0.012857,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2401474,7.23E+11,On The Way Records,Norway,Tidal,,Due,Stopping In Me,,,1,0.0117051,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2401474,7.23E+11,On The Way Records,Poland,Tidal,,Due,Stopping In Me,,,5,0.0260239,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2467523,7.23E+11,On The Way Records,Canada,Tidal,,Emoca,Focus Is You,,,1,0.01218217,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2467523,7.23E+11,On The Way Records,Singapore,Tidal,,Emoca,Focus Is You,,,1,0.00831468,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2368939,7.95E+11,On The Way Records,Norway,Tidal,,Fesko,Feeling Right,,,2,0.02341018,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2368939,7.95E+11,On The Way Records,United States,Tidal,,Fesko,Feeling Right,,,1,0.01285682,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2440807,7.23E+11,On The Way Records,Germany,Tidal,,Freewill,You Can't Fool Nobody,,,1,0.00734995,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2440807,7.23E+11,On The Way Records,Poland,Tidal,,Freewill,You Can't Fool Nobody,,,2,0.0121822,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2440807,7.23E+11,On The Way Records,Sweden,Tidal,,Freewill,You Can't Fool Nobody,,,1,0.0171938,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2440807,7.23E+11,On The Way Records,United States,Tidal,,Freewill,You Can't Fool Nobody,,,5,0.06311505,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2396963,7.23E+11,On The Way Records,Czech Republic,Tidal,,Iilo,Can’t Have It,,,1,0.01184972,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2396963,7.23E+11,On The Way Records,France,Tidal,,Iilo,Can’t Have It,,,1,0.01463259,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2396963,7.23E+11,On The Way Records,Norway,Tidal,,Iilo,Can’t Have It,,,4,0.04682088,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2396963,7.23E+11,On The Way Records,United States,Tidal,,Iilo,Can’t Have It,,,1,0.01285696,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2457207,7.23E+11,On The Way Records,Germany,Tidal,,Iilo,Lavish,,,1,0.00734993,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2457207,7.23E+11,On The Way Records,United States,Tidal,,Iilo,Lavish,,,1,0.01285707,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2438062,7.23E+11,On The Way Records,Lithuania,Tidal,,"Iilo, Rexus",Coco,,,2,0.00530655,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2438062,7.23E+11,On The Way Records,Spain,Tidal,,"Iilo, Rexus",Coco,,,1,0.01420605,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2438062,7.23E+11,On The Way Records,United States,Tidal,,"Iilo, Rexus",Coco,,,4,0.0514284,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2428057,7.23E+11,On The Way Records,Netherlands,Tidal,,Johlow,I'm In Love,,,1,0.01264694,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2428057,7.23E+11,On The Way Records,United Kingdom,Tidal,,Johlow,I'm In Love,,,1,0.01180206,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2453258,7.23E+11,On The Way Records,Australia,Tidal,,"Kora, Stang",Wasting Time,Madzi Remix,,14,0.056594,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2453257,7.23E+11,On The Way Records,United Kingdom,Tidal,,"Kora, Stang",Wasting Time,SatØs Remix,,1,0.011802,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
"Create Music Group, Inc.",CA5KR2453256,7.23E+11,On The Way Records,United States,Tidal,,"Kora, Stang",Wasting Time,Silvertone (us) Remix,,1,0.009237,Streaming,,,,,01/07/2024,On The Way Records,Tidal Streaming July 2024
