Company,ISRC,UPC,Label,Country,Store,"Catalogue Number",Artist,Title,Mix,Remixer,Quantity,"Recipient Net Royalty ($ USD)",Media,"Video ID","Channel ID","Asset ID","Asset Type",Month,Account,Reference
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records","United States",Tidal,,"Advanced, Jeonghyeon",Iab,,,12,0.19472307,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records",Germany,Tidal,,"Advanced, Jeonghyeon",Iab,,,4,0.01533053,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records",Argentina,Tidal,,"Advanced, Jeonghyeon",Iab,,,1,0.00027625,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records","United States",Tidal,,"Austin Feldman",Breathe,,,3,0.05112661,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records",Netherlands,Tidal,,"Austin Feldman",Breathe,,,1,0.00481865,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records",Norway,Tidal,,"Austin Feldman",Breathe,,,1,0.01184474,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2485551,723277709499,"On The Way Records","United States",Tidal,,"Austin Feldman","Tell Me",,,1,0.01704238,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2485551,723277709499,"On The Way Records",Germany,Tidal,,"Austin Feldman","Tell Me",,,1,0.00383262,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2464617,723277567044,"On The Way Records",Germany,Tidal,,"Austin Feldman",Whsky,,,1,0.00383254,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2464617,723277567044,"On The Way Records",Norway,Tidal,,"Austin Feldman",Whsky,,,2,0.01856346,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records","United States",Tidal,,Awol,"Give It To Me",,,1,0.01704202,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Hungary,Tidal,,Awol,"Give It To Me",,,1,0.00969398,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2485717,723277711294,"On The Way Records",Portugal,Tidal,,Axon,"Loko' Loko",,,1,0.00296221,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2485717,723277711294,"On The Way Records",Singapore,Tidal,,Axon,"Loko' Loko",,,2,0.03527793,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2485717,723277711294,"On The Way Records","United States",Tidal,,Axon,"Loko' Loko",,,1,0.01023386,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records","United States",Tidal,,"B00st, Daevo",1981,,,4,0.06816900,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2390785,723277126951,"On The Way Records",France,Tidal,,"Ban Dello",Money,,,1,0.01600400,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2461940,723277554709,"On The Way Records",Germany,Tidal,,"Blue Man","That Beat!",,,1,0.01059091,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2461940,723277554709,"On The Way Records","United States",Tidal,,"Blue Man","That Beat!",,,3,0.05112624,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2491776,723277768021,"On The Way Records",Belgium,Tidal,,Cgve,Flex,,,2,0.04582100,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2343132,795397719122,"On The Way Records","United States",Tidal,,Daevo,"Lose Control",,,1,0.01059100,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2406290,723277224046,"On The Way Records","United States",Tidal,,Dawner,Dream,,,2,0.03408500,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2411412,723277258171,"On The Way Records",Belgium,Tidal,,Dcvcv,Falling,,,12,0.05642638,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2411412,723277258171,"On The Way Records",Norway,Tidal,,Dcvcv,Falling,,,3,0.04239799,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2411412,723277258171,"On The Way Records",Poland,Tidal,,Dcvcv,Falling,,,26,0.06425913,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2411412,723277258171,"On The Way Records",Brazil,Tidal,,Dcvcv,Falling,,,1,0.00774265,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records","United States",Tidal,,Dstyler,"Nobody Safe",,,2,0.03408500,Streaming,,,,,2024-11-01,"On The Way Records","Tidal Streaming November 2024"
