Company,ISRC,UPC,Label,Country,Store,"Catalogue Number",Artist,Title,Mix,Remixer,Quantity,"Recipient Net Royalty ($ USD)",Media,"Video ID","Channel ID","Asset ID","Asset Type",Month,Account,Reference
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records",Germany,Tidal,,"Advanced, Jeonghyeon",Iab,,,3,0.01208100,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2392188,723277141763,"On The Way Records","United Kingdom",Tidal,,"Ali7e, Clamor","Beast Hive",,,2,0.05091500,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2488300,723277728353,"On The Way Records",Australia,Tidal,,"Anne Mulcahy, Brannco, Sevenkey","You Make Me Feel",,,1,0.00431600,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records",Netherlands,Tidal,,"Austin Feldman",Breathe,,,1,0.00509655,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records",Switzerland,Tidal,,"Austin Feldman",Breathe,,,1,0.02763577,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records","United States",Tidal,,"Austin Feldman",Breathe,,,1,0.01708568,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2464617,723277567044,"On The Way Records",Germany,Tidal,,"Austin Feldman",Whsky,,,1,0.01145619,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2464617,723277567044,"On The Way Records",Norway,Tidal,,"Austin Feldman",Whsky,,,3,0.02960523,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2464617,723277567044,"On The Way Records","United Kingdom",Tidal,,"Austin Feldman",Whsky,,,2,0.02368758,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Sweden,Tidal,,Awol,"Give It To Me",,,1,0.00967400,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2485717,723277711294,"On The Way Records",Canada,Tidal,,Axon,"Loko' Loko",,,2,0.03050876,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2485717,723277711294,"On The Way Records","United States",Tidal,,Axon,"Loko' Loko",,,4,0.04209924,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2460825,723277549422,"On The Way Records",Australia,Tidal,,"Azooland, Wrex","The Dj",,,1,0.01815387,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2460825,723277549422,"On The Way Records",Germany,Tidal,,"Azooland, Wrex","The Dj",,,1,0.00486698,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records",Australia,Tidal,,"B00st, Daevo",1981,,,1,0.01815416,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records",Netherlands,Tidal,,"B00st, Daevo",1981,,,2,0.01019227,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records","United States",Tidal,,"B00st, Daevo",1981,,,1,0.01708572,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2478348,723277657356,"On The Way Records",Poland,Tidal,,"Blue Man",Alive,,,1,0.00673100,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2461940,723277554709,"On The Way Records",Germany,Tidal,,"Blue Man","That Beat!",,,1,0.01364077,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2461940,723277554709,"On The Way Records","United States",Tidal,,"Blue Man","That Beat!",,,8,0.13668908,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2491776,723277768021,"On The Way Records",Belgium,Tidal,,Cgve,Flex,,,1,0.02271076,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2491776,723277768021,"On The Way Records",Germany,Tidal,,Cgve,Flex,,,1,0.02331424,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2343132,795397719122,"On The Way Records","United States",Tidal,,Daevo,"Lose Control",,,2,0.01551300,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2411412,723277258171,"On The Way Records",Canada,Tidal,,Dcvcv,Falling,,,4,0.03257533,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2411412,723277258171,"On The Way Records",Norway,Tidal,,Dcvcv,Falling,,,1,0.01503052,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2411412,723277258171,"On The Way Records",Poland,Tidal,,Dcvcv,Falling,,,27,0.06840615,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2426161,723277351629,"On The Way Records",Poland,Tidal,,"Dcvcv, Something Else Dr","Teenage Madness",,,1,0.00501063,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2426161,723277351629,"On The Way Records",Switzerland,Tidal,,"Dcvcv, Something Else Dr","Teenage Madness",,,1,0.02763537,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records","United States",Tidal,,Dstyler,"Nobody Safe",,,1,0.01708500,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2401474,723277201429,"On The Way Records","Czech Republic",Tidal,,Due,"Stopping In Me",,,1,0.00866048,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2401474,723277201429,"On The Way Records",Mexico,Tidal,,Due,"Stopping In Me",,,1,0.00567109,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2401474,723277201429,"On The Way Records",Nigeria,Tidal,,Due,"Stopping In Me",,,1,0.00355548,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2401474,723277201429,"On The Way Records",Poland,Tidal,,Due,"Stopping In Me",,,3,0.01503280,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2443370,723277456416,"On The Way Records",Slovakia,Tidal,,Dynamick,"Gimme Love",,,1,0.01265300,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2467523,723277585949,"On The Way Records","United States",Tidal,,Emoca,"Focus Is You",,,3,0.05125800,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2368939,795397919881,"On The Way Records","United States",Tidal,,Fesko,"Feeling Right",,,1,0.01708500,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2386089,723277090429,"On The Way Records",Germany,Tidal,,"Fesko, Iilo","Lose My Breath",,,1,0.01364076,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2386089,723277090429,"On The Way Records",Switzerland,Tidal,,"Fesko, Iilo","Lose My Breath",,,1,0.02763597,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2386089,723277090429,"On The Way Records","United States",Tidal,,"Fesko, Iilo","Lose My Breath",,,4,0.06094227,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2396963,723277178134,"On The Way Records","Czech Republic",Tidal,,Iilo,"Can’t Have It",,,1,0.00661600,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2457207,723277529615,"On The Way Records",Germany,Tidal,,Iilo,Lavish,,,1,0.00486700,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2438062,723277422527,"On The Way Records","United States",Tidal,,"Iilo, Rexus",Coco,,,6,0.10278200,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2428057,723277362564,"On The Way Records","United States",Tidal,,Johlow,"I'm In Love",,,1,0.01708500,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2415987,723277285368,"On The Way Records",Netherlands,Tidal,,"Kora, Stang","Wasting Time",,,2,0.01019200,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2453259,723277507873,"On The Way Records","United States",Tidal,,"Kora, Stang","Wasting Time","Dcvcv Remix",,1,0.01708500,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2453258,723277507873,"On The Way Records",Australia,Tidal,,"Kora, Stang","Wasting Time","Madzi Remix",,1,0.00431600,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2453257,723277507873,"On The Way Records","United Kingdom",Tidal,,"Kora, Stang","Wasting Time","SatØs Remix",,1,0.01184359,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2453257,723277507873,"On The Way Records","United States",Tidal,,"Kora, Stang","Wasting Time","SatØs Remix",,1,0.01708541,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2476642,723277646886,"On The Way Records",Canada,Tidal,,Kuks,Tension,,,1,0.01525492,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2476642,723277646886,"On The Way Records",France,Tidal,,Kuks,Tension,,,1,0.00767974,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2476642,723277646886,"On The Way Records",Germany,Tidal,,Kuks,Tension,,,2,0.00973333,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2476642,723277646886,"On The Way Records",Ireland,Tidal,,Kuks,Tension,,,2,0.02242721,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2476642,723277646886,"On The Way Records",Malaysia,Tidal,,Kuks,Tension,,,2,0.01732297,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2476642,723277646886,"On The Way Records",Poland,Tidal,,Kuks,Tension,,,7,0.03088384,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2351506,795397783840,"On The Way Records","United States",Tidal,,Madzi,"Ready Or Not",,,1,0.01025700,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2459185,723277538648,"On The Way Records",Germany,Tidal,,Naffe,"I Don't Need Love",,,1,0.00486700,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2485714,723277711249,"On The Way Records","United States",Tidal,,"Nonogood, Volyri","Everything To Lose",,,66,0.67703900,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2418441,723277307787,"On The Way Records","United States",Tidal,,"Paul Amber","Let You Go",,,5,0.07062700,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2376226,795397991993,"On The Way Records","United States",Tidal,,"Paul Amber",Rain,,,1,0.00525500,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2471184,723277606804,"On The Way Records",Poland,Tidal,,"Resz, Volyri","Better Now",,,1,0.00253300,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2331459,795397631622,"On The Way Records","Hong Kong",Tidal,,Synthtonix,"Get That",,,1,0.01605200,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2475624,723277640365,"On The Way Records",Brazil,Tidal,,"Thomas Anthony, We Are Robots",Underwater,,,2,0.01691159,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2475624,723277640365,"On The Way Records",Canada,Tidal,,"Thomas Anthony, We Are Robots",Underwater,,,8,0.10781482,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2475624,723277640365,"On The Way Records",Italy,Tidal,,"Thomas Anthony, We Are Robots",Underwater,,,2,0.00875925,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2475624,723277640365,"On The Way Records",Netherlands,Tidal,,"Thomas Anthony, We Are Robots",Underwater,,,1,0.01136450,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2475624,723277640365,"On The Way Records",Portugal,Tidal,,"Thomas Anthony, We Are Robots",Underwater,,,1,0.00997900,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2394887,723277161679,"On The Way Records",Australia,Tidal,,Vid3la,"How I Do It",,,1,0.01815400,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2415213,723277280288,"On The Way Records",Argentina,Tidal,,Vieratto,Now!,,,10,0.00598651,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2415213,723277280288,"On The Way Records","United States",Tidal,,Vieratto,Now!,,,2,0.03417234,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2426677,723277353777,"On The Way Records",Switzerland,Tidal,,Vieratto,"She Likes",,,1,0.02763600,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2321534,795397587189,"On The Way Records",Finland,Tidal,,Volyri,Fantasy,,,1,0.00399839,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2321534,795397587189,"On The Way Records",Germany,Tidal,,Volyri,Fantasy,,,1,0.01145626,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2321534,795397587189,"On The Way Records","United States",Tidal,,Volyri,Fantasy,,,5,0.06547951,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2307741,795397523132,"On The Way Records",Australia,Tidal,,Wcx,"Break My Body",,,1,0.00902343,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2307741,795397523132,"On The Way Records","New Zealand",Tidal,,Wcx,"Break My Body",,,1,0.00975442,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2452528,723277504414,"On The Way Records",Germany,Tidal,,Whowhenwhy,Nasty,,,1,0.00486703,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2452528,723277504414,"On The Way Records",Spain,Tidal,,Whowhenwhy,Nasty,,,2,0.02169933,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2452528,723277504414,"On The Way Records","United States",Tidal,,Whowhenwhy,Nasty,,,1,0.01735249,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2448682,723277484914,"On The Way Records",Canada,Tidal,,Zanders,"Could You Love Me Too",,,1,0.01525493,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2448682,723277484914,"On The Way Records","United Kingdom",Tidal,,Zanders,"Could You Love Me Too",,,1,0.01367648,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2448682,723277484914,"On The Way Records","United States",Tidal,,Zanders,"Could You Love Me Too",,,1,0.01079159,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2488299,723277728346,"On The Way Records",Spain,Tidal,,ZØdiak,Control,,,1,0.01584300,Streaming,,,,,2024-10-01,"On The Way Records","Tidal Streaming October 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records",Egypt,Anghami,,"Austin Feldman",Breathe,,,8,0.00270763,Streaming,,,,,2024-06-01,"On The Way Records","Anghami June 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records",Lebanon,Anghami,,"Austin Feldman",Breathe,,,2,0.00185437,Streaming,,,,,2024-06-01,"On The Way Records","Anghami June 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records",Egypt,Anghami,,"B00st & Daevo",1981,,,1,0.00159800,Streaming,,,,,2024-06-01,"On The Way Records","Anghami June 2024"
"Create Music Group, Inc.",CA5KR2440807,723277438559,"On The Way Records","Saudi Arabia",Anghami,,Freewill,"You Can't Fool Nobody",,,1,0.00187900,Streaming,,,,,2024-06-01,"On The Way Records","Anghami June 2024"
