Company,ISRC,UPC,Label,Country,Store,"Catalogue Number",Artist,Title,Mix,Remixer,Quantity,"Recipient Net Royalty ($ USD)",Media,"Video ID","Channel ID","Asset ID","Asset Type",Month,Account,Reference
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records",Netherlands,Tidal,,"Austin Feldman",Breathe,,,1,0.00363198,Streaming,,,,,2024-05-01,"On The Way Records","Tidal Streaming May 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records",Slovakia,Tidal,,"Austin Feldman",Breathe,,,2,0.00457377,Streaming,,,,,2024-05-01,"On The Way Records","Tidal Streaming May 2024"
"Create Music Group, Inc.",CA5KR2432424,723277386591,"On The Way Records","United States",Tidal,,"Austin Feldman",Breathe,,,2,0.01934225,Streaming,,,,,2024-05-01,"On The Way Records","Tidal Streaming May 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Romania,Tidal,,Awol,"Give It To Me",,,2,0.00835877,Streaming,,,,,2024-05-01,"On The Way Records","Tidal Streaming May 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records",Spain,Tidal,,Awol,"Give It To Me",,,1,0.01013269,Streaming,,,,,2024-05-01,"On The Way Records","Tidal Streaming May 2024"
"Create Music Group, Inc.",CA5KR2404787,723277215174,"On The Way Records","United States",Tidal,,Awol,"Give It To Me",,,5,0.04038455,Streaming,,,,,2024-05-01,"On The Way Records","Tidal Streaming May 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records",Germany,Tidal,,"B00st Daevo",1981,,,1,0.00331836,Streaming,,,,,2024-05-01,"On The Way Records","Tidal Streaming May 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records","New Zealand",Tidal,,"B00st Daevo",1981,,,5,0.01461216,Streaming,,,,,2024-05-01,"On The Way Records","Tidal Streaming May 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records",Nigeria,Tidal,,"B00st Daevo",1981,,,1,0.00098684,Streaming,,,,,2024-05-01,"On The Way Records","Tidal Streaming May 2024"
"Create Music Group, Inc.",CA5KR2356213,795397818061,"On The Way Records","United States",Tidal,,"B00st Daevo",1981,,,2,0.02253065,Streaming,,,,,2024-05-01,"On The Way Records","Tidal Streaming May 2024"
