Company,ISRC,UPC,Label,Country,Store,"Catalogue Number",Artist,Title,Mix,Remixer,Quantity,"Recipient Net Royalty ($ USD)",Media,"Video ID","Channel ID","Asset ID","Asset Type",Month,Account,Reference
"Create Music Group, Inc.",CA5KR2485717,723277711294,"On The Way Records","United States",Tidal,,Axon,"Loko' Loko",,,2,0.02095162,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2485717,723277711294,"On The Way Records",Singapore,Tidal,,Axon,"Loko' Loko",,,1,0.02013138,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records",Singapore,Tidal,,Dstyler,"Nobody Safe",,,1,0.00879648,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2391470,723277135373,"On The Way Records","United States",Tidal,,Dstyler,"Nobody Safe",,,3,0.02698952,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2443370,723277456416,"On The Way Records","United States",Tidal,,Dynamick,"Gimme Love",,,3,0.05547200,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2440807,723277438559,"On The Way Records",Australia,Tidal,,Freewill,"You Can't Fool Nobody",,,2,0.04183516,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2440807,723277438559,"On The Way Records","United States",Tidal,,Freewill,"You Can't Fool Nobody",,,1,0.01849084,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2370827,795397938691,"On The Way Records","United States",Tidal,,Hedclem,"Call Me",,,1,0.01849000,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2457207,723277529615,"On The Way Records","United States",Tidal,,Iilo,Lavish,,,1,0.01849000,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2438062,723277422527,"On The Way Records","United States",Tidal,,"Iilo, Rexus",Coco,,,3,0.04672918,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2438062,723277422527,"On The Way Records",Lithuania,Tidal,,"Iilo, Rexus",Coco,,,1,0.00319767,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2453259,723277507873,"On The Way Records",Australia,Tidal,,"Kora, Stang","Wasting Time","Dcvcv Remix",,1,0.02091700,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2453258,723277507873,"On The Way Records","United States",Tidal,,"Kora, Stang","Wasting Time","Madzi Remix",,4,0.07396413,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2453258,723277507873,"On The Way Records",France,Tidal,,"Kora, Stang","Wasting Time","Madzi Remix",,2,0.00810387,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2453257,723277507873,"On The Way Records",Germany,Tidal,,"Kora, Stang","Wasting Time","SatØs Remix",,1,0.02279600,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2453256,723277507873,"On The Way Records","United States",Tidal,,"Kora, Stang","Wasting Time","Silvertone (us) Remix",,3,0.05547200,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2362773,795397865072,"On The Way Records",Belgium,Tidal,,Krupz,You,,,1,0.00459900,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2367043,795397905037,"On The Way Records","United States",Tidal,,Loadjaxx,"Big Daddy",,,1,0.01849000,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2372935,795397960715,"On The Way Records","United States",Tidal,,Nico,"Keep Falling",,,3,0.05547200,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2424693,723277339696,"On The Way Records","United States",Tidal,,"Resz, Volyri",Life,,,1,0.01849000,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2307741,795397523132,"On The Way Records","United States",Tidal,,Wcx,"Break My Body",,,2,0.03698100,Streaming,,,,,2025-02-01,"On The Way Records","Tidal Streaming February 2025"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records",Canada,Spotify,,"Advanced, Jeonghyeon",Iab,,,2,0.00688074,Streaming,,,,,2025-02-01,"On The Way Records","Spotify | February 2025 | Spotify February 2025"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records",Germany,Spotify,,"Advanced, Jeonghyeon",Iab,,,2,0.00754119,Streaming,,,,,2025-02-01,"On The Way Records","Spotify | February 2025 | Spotify February 2025"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records",Ireland,Spotify,,"Advanced, Jeonghyeon",Iab,,,3,0.01765108,Streaming,,,,,2025-02-01,"On The Way Records","Spotify | February 2025 | Spotify February 2025"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records",France,Spotify,,"Advanced, Jeonghyeon",Iab,,,4,0.02022573,Streaming,,,,,2025-02-01,"On The Way Records","Spotify | February 2025 | Spotify February 2025"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records",Greece,Spotify,,"Advanced, Jeonghyeon",Iab,,,5,0.01754398,Streaming,,,,,2025-02-01,"On The Way Records","Spotify | February 2025 | Spotify February 2025"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records",Portugal,Spotify,,"Advanced, Jeonghyeon",Iab,,,1,0.00159035,Streaming,,,,,2025-02-01,"On The Way Records","Spotify | February 2025 | Spotify February 2025"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records",Italy,Spotify,,"Advanced, Jeonghyeon",Iab,,,1,0.00537029,Streaming,,,,,2025-02-01,"On The Way Records","Spotify | February 2025 | Spotify February 2025"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records",Philippines,Spotify,,"Advanced, Jeonghyeon",Iab,,,1,0.00129115,Streaming,,,,,2025-02-01,"On The Way Records","Spotify | February 2025 | Spotify February 2025"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records","Czech Republic",Spotify,,"Advanced, Jeonghyeon",Iab,,,1,0.00358530,Streaming,,,,,2025-02-01,"On The Way Records","Spotify | February 2025 | Spotify February 2025"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records",Brazil,Spotify,,"Advanced, Jeonghyeon",Iab,,,121,0.19827930,Streaming,,,,,2025-02-01,"On The Way Records","Spotify | February 2025 | Spotify February 2025"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records",Ecuador,Spotify,,"Advanced, Jeonghyeon",Iab,,,4,0.00774859,Streaming,,,,,2025-02-01,"On The Way Records","Spotify | February 2025 | Spotify February 2025"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records",Uruguay,Spotify,,"Advanced, Jeonghyeon",Iab,,,1,0.00350285,Streaming,,,,,2025-02-01,"On The Way Records","Spotify | February 2025 | Spotify February 2025"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records",Norway,Spotify,,"Advanced, Jeonghyeon",Iab,,,1,0.00273275,Streaming,,,,,2025-02-01,"On The Way Records","Spotify | February 2025 | Spotify February 2025"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records",Sweden,Spotify,,"Advanced, Jeonghyeon",Iab,,,8,0.04303716,Streaming,,,,,2025-02-01,"On The Way Records","Spotify | February 2025 | Spotify February 2025"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records",Belgium,Spotify,,"Advanced, Jeonghyeon",Iab,,,1,0.00482545,Streaming,,,,,2025-02-01,"On The Way Records","Spotify | February 2025 | Spotify February 2025"
"Create Music Group, Inc.",CA5KR2489986,723277739021,"On The Way Records",Colombia,Spotify,,"Advanced, Jeonghyeon",Iab,,,1,0.00060180,Streaming,,,,,2025-02-01,"On The Way Records","Spotify | February 2025 | Spotify February 2025"
